timeline,Daito Trust Construction
31 Mar 2006,$6.5B
28 Apr 2006,$6.26B
31 May 2006,$6.45B
30 Jun 2006,$6.71B
31 Jul 2006,$6.59B
31 Aug 2006,$6.45B
29 Sep 2006,$6.78B
31 Oct 2006,$6.53B
30 Nov 2006,$6.34B
29 Dec 2006,$5.78B
31 Jan 2007,$6.12B
28 Feb 2007,$6.07B
30 Mar 2007,$5.87B
31 May 2007,$6.87B
29 Jun 2007,$6.25B
31 Jul 2007,$6.32B
31 Aug 2007,$5.82B
28 Sep 2007,$5.9B
31 Oct 2007,$5.64B
30 Nov 2007,$5.66B
31 Dec 2007,$6.59B
31 Jan 2008,$6.1B
29 Feb 2008,$6.08B
31 Mar 2008,$5.47B
30 Apr 2008,$5.15B
30 May 2008,$5.78B
30 Jun 2008,$5.48B
31 Jul 2008,$5.26B
29 Aug 2008,$4.84B
30 Sep 2008,$4.12B
31 Oct 2008,$4.37B
28 Nov 2008,$4.32B
31 Dec 2008,$4.98B
30 Jan 2009,$4.16B
27 Feb 2009,$3.31B
31 Mar 2009,$3.45B
30 Apr 2009,$4.27B
29 May 2009,$4.5B
30 Jun 2009,$4.76B
31 Jul 2009,$4.87B
31 Aug 2009,$4.64B
30 Sep 2009,$4.1B
30 Oct 2009,$4B
30 Nov 2009,$4.29B
31 Dec 2009,$4.6B
29 Jan 2010,$4.5B
26 Feb 2010,$4.54B
31 Mar 2010,$4.71B
30 Apr 2010,$5.27B
31 May 2010,$4.8B
30 Jun 2010,$5.25B
30 Jul 2010,$4.91B
31 Aug 2010,$5.04B
30 Sep 2010,$5.21B
29 Oct 2010,$5.08B
30 Nov 2010,$5.41B
31 Dec 2010,$5.81B
31 Jan 2011,$6.01B
28 Feb 2011,$6.97B
31 Mar 2011,$5.99B
29 Apr 2011,$6.74B
31 May 2011,$7.02B
30 Jun 2011,$4.74B
29 Jul 2011,$5.16B
31 Aug 2011,$4.91B
30 Sep 2011,$4.97B
31 Oct 2011,$4.89B
30 Nov 2011,$4.74B
30 Dec 2011,$4.59B
31 Jan 2012,$5B
29 Feb 2012,$4.98B
30 Mar 2012,$5.28B
30 Apr 2012,$5.13B
31 May 2012,$4.91B
29 Jun 2012,$5.37B
31 Jul 2012,$5.29B
31 Aug 2012,$5.36B
28 Sep 2012,$5.5B
31 Oct 2012,$5.65B
30 Nov 2012,$5.6B
31 Dec 2012,$5.71B
31 Jan 2013,$6.32B
28 Feb 2013,$5.82B
29 Mar 2013,$5.62B
30 Apr 2013,$6.63B
31 May 2013,$6.66B
28 Jun 2013,$6.57B
31 Jul 2013,$6.3B
30 Aug 2013,$6.32B
30 Sep 2013,$6.89B
31 Oct 2013,$7.03B
29 Nov 2013,$6.83B
31 Dec 2013,$6.91B
31 Jan 2014,$6.84B
28 Feb 2014,$6.65B
31 Mar 2014,$6.71B
30 Apr 2014,$7.3B
30 May 2014,$7.75B
30 Jun 2014,$8.37B
31 Jul 2014,$8.77B
29 Aug 2014,$9.04B
30 Sep 2014,$9.1B
31 Oct 2014,$9.71B
28 Nov 2014,$9.42B
31 Dec 2014,$9.63B
30 Jan 2015,$9.26B
27 Feb 2015,$9.09B
31 Mar 2015,$9.31B
30 Apr 2015,$9.69B
29 May 2015,$9.6B
30 Jun 2015,$8.79B
31 Jul 2015,$9.08B
31 Aug 2015,$9.2B
30 Sep 2015,$8.4B
30 Oct 2015,$9.11B
30 Nov 2015,$8.87B
31 Dec 2015,$9.71B
29 Jan 2016,$10.56B
29 Feb 2016,$10.59B
31 Mar 2016,$10.87B
29 Apr 2016,$10.54B
31 May 2016,$10.95B
30 Jun 2016,$11.32B
29 Jul 2016,$11.69B
31 Aug 2016,$10.36B
30 Sep 2016,$11B
31 Oct 2016,$11.95B
30 Nov 2016,$12.09B
30 Dec 2016,$11.96B
31 Jan 2017,$10.74B
28 Feb 2017,$10.69B
31 Mar 2017,$10.26B
28 Apr 2017,$11B
31 May 2017,$11.71B
30 Jun 2017,$11.59B
31 Jul 2017,$12.33B
31 Aug 2017,$12.88B
29 Sep 2017,$13.56B
31 Oct 2017,$13.12B
30 Nov 2017,$13.59B
29 Dec 2017,$15.2B
31 Jan 2018,$12.53B
28 Feb 2018,$11.66B
30 Mar 2018,$12.08B
30 Apr 2018,$12B
31 May 2018,$11.69B
29 Jun 2018,$11.85B
31 Jul 2018,$12.16B
31 Aug 2018,$10.85B
28 Sep 2018,$9.52B
31 Oct 2018,$9.88B
30 Nov 2018,$9.67B
31 Dec 2018,$9.8B
31 Jan 2019,$9.79B
28 Feb 2019,$9.9B
29 Mar 2019,$9.89B
30 Apr 2019,$9.39B
31 May 2019,$8.78B
28 Jun 2019,$8.53B
31 Jul 2019,$8.48B
30 Aug 2019,$8.24B
30 Sep 2019,$8.29B
31 Oct 2019,$8.63B
29 Nov 2019,$8.04B
31 Dec 2019,$8.1B
31 Jan 2020,$7.76B
28 Feb 2020,$6.6B
26 Mar 2020,$6.26B
31 Mar 2020,$6.08B
30 Apr 2020,$6.23B
29 May 2020,$6.87B
30 Jun 2020,$5.98B
31 Jul 2020,$4.99B
21 Aug 2020,$5.43B
31 Aug 2020,$5.67B
25 Sep 2020,$5.65B
30 Sep 2020,$5.63B
23 Oct 2020,$6.11B
30 Oct 2020,$5.73B
6 Nov 2020,$5.71B
16 Nov 2020,$6.1B
20 Nov 2020,$6.11B
30 Nov 2020,$6.18B
4 Dec 2020,$5.9B
11 Dec 2020,$5.86B
25 Dec 2020,$5.75B
31 Dec 2020,$5.82B
8 Jan 2021,$5.88B
22 Jan 2021,$5.76B
29 Jan 2021,$6.57B
5 Feb 2021,$6.95B
19 Feb 2021,$7.25B
1 Mar 2021,$7.18B
11 Mar 2021,$6.84B
19 Mar 2021,$7.27B
25 Mar 2021,$7.36B
1 Apr 2021,$7.69B
7 Apr 2021,$7.94B
16 Apr 2021,$7.64B
30 Apr 2021,$7.01B
7 May 2021,$7.36B
19 May 2021,$7.12B
31 May 2021,$6.95B
11 Jun 2021,$7.29B
9 Jul 2021,$7.51B
16 Jul 2021,$8B
20 Jul 2021,$7.98B
30 Jul 2021,$8.01B
6 Aug 2021,$7.65B
13 Aug 2021,$7.57B
20 Aug 2021,$7.65B
27 Aug 2021,$7.67B
3 Sep 2021,$7.68B
10 Sep 2021,$8.22B
17 Sep 2021,$8.33B
24 Sep 2021,$8.28B
2 Oct 2021,$7.71B
9 Oct 2021,$7.97B
16 Oct 2021,$8.13B
23 Oct 2021,$8.14B
30 Oct 2021,$8.46B
6 Nov 2021,$8.22B
13 Nov 2021,$8.03B
20 Nov 2021,$7.94B
27 Nov 2021,$7.67B
4 Dec 2021,$7.84B
10 Dec 2021,$7.83B
