timeline,Mazda
30 Apr 2019,$7.31B
31 May 2019,$5.9B
28 Jun 2019,$6.25B
31 Jul 2019,$5.99B
30 Aug 2019,$4.96B
30 Sep 2019,$5.33B
31 Oct 2019,$5.58B
29 Nov 2019,$5.39B
31 Dec 2019,$5.21B
31 Jan 2020,$5.19B
28 Feb 2020,$4.17B
31 Mar 2020,$3.18B
30 Apr 2020,$3.4B
29 May 2020,$3.83B
30 Jun 2020,$3.59B
31 Jul 2020,$3.28B
13 Aug 2020,$3.69B
31 Aug 2020,$3.78B
10 Sep 2020,$3.86B
30 Sep 2020,$3.39B
30 Oct 2020,$3.03B
16 Nov 2020,$3.66B
26 Nov 2020,$3.72B
4 Dec 2020,$3.62B
18 Dec 2020,$3.93B
31 Dec 2020,$3.84B
15 Jan 2021,$4.23B
29 Jan 2021,$4.13B
1 Feb 2021,$4.23B
19 Feb 2021,$4.77B
1 Mar 2021,$4.81B
17 Mar 2021,$5.04B
25 Mar 2021,$4.82B
7 Apr 2021,$4.99B
16 Apr 2021,$4.94B
22 Apr 2021,$4.67B
30 Apr 2021,$4.7B
7 May 2021,$4.86B
19 May 2021,$4.72B
28 May 2021,$5.39B
4 Jun 2021,$5.74B
11 Jun 2021,$5.5B
30 Jun 2021,$5.8B
12 Jul 2021,$5.89B
20 Jul 2021,$5.49B
21 Jul 2021,$5.58B
6 Aug 2021,$5.71B
13 Aug 2021,$5.82B
20 Aug 2021,$5.18B
27 Aug 2021,$5.36B
10 Sep 2021,$5.59B
17 Sep 2021,$5.49B
24 Sep 2021,$5.48B
2 Oct 2021,$5.34B
9 Oct 2021,$5.23B
23 Oct 2021,$5.79B
30 Oct 2021,$5.65B
6 Nov 2021,$5.67B
13 Nov 2021,$5.81B
20 Nov 2021,$5.76B
4 Dec 2021,$5.26B
10 Dec 2021,$5.14B
