timeline,Dai Nippon Printing
29 Mar 2019,$7.04B
30 Apr 2019,$7.01B
31 May 2019,$6.27B
28 Jun 2019,$6.11B
30 Aug 2019,$6.12B
30 Sep 2019,$7.4B
31 Oct 2019,$7.61B
29 Nov 2019,$7.66B
31 Dec 2019,$7.57B
31 Jan 2020,$7.7B
28 Feb 2020,$6.56B
26 Mar 2020,$5.59B
31 Mar 2020,$5.7B
1 May 2020,$5.41B
29 May 2020,$6.07B
30 Jun 2020,$6.12B
10 Jul 2020,$5.99B
31 Jul 2020,$5.68B
19 Aug 2020,$5.64B
2 Sep 2020,$5.49B
16 Sep 2020,$5.38B
30 Sep 2020,$5.27B
15 Oct 2020,$5.23B
29 Oct 2020,$4.96B
30 Oct 2020,$4.8B
12 Nov 2020,$5.08B
18 Nov 2020,$4.94B
30 Nov 2020,$4.85B
8 Dec 2020,$4.67B
14 Dec 2020,$4.73B
28 Dec 2020,$4.6B
4 Jan 2021,$4.51B
8 Jan 2021,$4.8B
22 Jan 2021,$4.55B
29 Jan 2021,$4.46B
17 Feb 2021,$4.82B
26 Feb 2021,$4.74B
5 Mar 2021,$5.14B
12 Mar 2021,$5.65B
18 Mar 2021,$6.01B
31 Mar 2021,$5.75B
8 Apr 2021,$5.6B
14 Apr 2021,$5.57B
30 Apr 2021,$5.38B
14 May 2021,$5.75B
20 May 2021,$5.65B
31 May 2021,$5.84B
2 Jun 2021,$5.96B
11 Jun 2021,$5.91B
30 Jun 2021,$5.74B
12 Jul 2021,$5.99B
21 Jul 2021,$6.14B
30 Jul 2021,$6.5B
6 Aug 2021,$6.39B
13 Aug 2021,$6.29B
20 Aug 2021,$6.33B
27 Aug 2021,$6.51B
10 Sep 2021,$6.79B
17 Sep 2021,$6.93B
24 Sep 2021,$6.84B
2 Oct 2021,$6.61B
9 Oct 2021,$6.67B
23 Oct 2021,$6.69B
6 Nov 2021,$6.71B
13 Nov 2021,$6.91B
20 Nov 2021,$6.52B
4 Dec 2021,$6.54B
10 Dec 2021,$6.59B
