timeline,Sompo Holdings
31 Mar 2011,$7.95B
29 Apr 2011,$7.58B
31 May 2011,$7.5B
30 Jun 2011,$7.74B
29 Jul 2011,$7.47B
31 Aug 2011,$6.57B
30 Sep 2011,$6.32B
31 Oct 2011,$5.84B
30 Nov 2011,$5.49B
30 Dec 2011,$5.52B
31 Jan 2012,$6.06B
29 Feb 2012,$6.96B
30 Mar 2012,$6.77B
30 Apr 2012,$6.05B
31 May 2012,$5.27B
29 Jun 2012,$6.16B
31 Jul 2012,$5.5B
31 Aug 2012,$5.15B
28 Sep 2012,$5.59B
31 Oct 2012,$5.33B
30 Nov 2012,$5.72B
31 Dec 2012,$6.72B
31 Jan 2013,$7.03B
28 Feb 2013,$7.19B
30 Apr 2013,$9.02B
31 May 2013,$8.49B
28 Jun 2013,$8.65B
31 Jul 2013,$9.01B
30 Aug 2013,$8.8B
30 Sep 2013,$9.15B
31 Oct 2013,$9.17B
29 Nov 2013,$10.3B
31 Dec 2013,$10.61B
31 Jan 2014,$9.84B
28 Feb 2014,$9.32B
31 Mar 2014,$9.62B
30 Apr 2014,$9.24B
30 May 2014,$10.25B
30 Jun 2014,$9.89B
31 Jul 2014,$9.57B
29 Aug 2014,$9.11B
30 Sep 2014,$9.57B
31 Oct 2014,$9.89B
28 Nov 2014,$10.58B
31 Dec 2014,$10.97B
30 Jan 2015,$11.87B
27 Feb 2015,$13.39B
31 Mar 2015,$13.44B
30 Apr 2015,$14.14B
29 May 2015,$16.3B
30 Jun 2015,$16.16B
31 Jul 2015,$15.73B
31 Aug 2015,$14.47B
30 Sep 2015,$12.31B
30 Oct 2015,$13.64B
30 Nov 2015,$13.52B
31 Dec 2015,$14.43B
29 Jan 2016,$12.66B
29 Feb 2016,$11.58B
31 Mar 2016,$11.36B
29 Apr 2016,$10.48B
31 May 2016,$11.14B
30 Jun 2016,$9.62B
29 Jul 2016,$11.99B
31 Aug 2016,$11.82B
30 Sep 2016,$10.28B
31 Oct 2016,$11.8B
30 Nov 2016,$12.93B
30 Dec 2016,$13.73B
31 Jan 2017,$14.21B
28 Feb 2017,$14.56B
31 Mar 2017,$14.15B
28 Apr 2017,$14.59B
31 May 2017,$14.82B
30 Jun 2017,$15.07B
31 Jul 2017,$15.05B
31 Aug 2017,$14.37B
29 Sep 2017,$15.21B
31 Oct 2017,$15.25B
30 Nov 2017,$15.23B
29 Dec 2017,$14.67B
28 Feb 2018,$13.92B
30 Mar 2018,$14.39B
30 Apr 2018,$15.4B
31 May 2018,$15.74B
29 Jun 2018,$15.03B
31 Jul 2018,$14.91B
31 Aug 2018,$15.6B
28 Sep 2018,$15.91B
31 Oct 2018,$15.39B
30 Nov 2018,$14.42B
31 Dec 2018,$12.27B
31 Jan 2019,$13.44B
28 Feb 2019,$13.67B
29 Mar 2019,$13.48B
30 Apr 2019,$13.66B
31 May 2019,$13.51B
28 Jun 2019,$13.67B
31 Jul 2019,$14.7B
30 Aug 2019,$13.77B
30 Sep 2019,$14.5B
31 Oct 2019,$13.76B
29 Nov 2019,$13.9B
31 Dec 2019,$13.84B
31 Jan 2020,$13.31B
28 Feb 2020,$12.93B
1 Apr 2020,$10.43B
13 Apr 2020,$11.44B
30 Apr 2020,$11.24B
29 May 2020,$12.3B
30 Jun 2020,$11.89B
17 Jul 2020,$11.93B
31 Jul 2020,$11.02B
20 Aug 2020,$12.47B
31 Aug 2020,$12.62B
16 Sep 2020,$12.23B
23 Sep 2020,$12.02B
30 Sep 2020,$11.47B
22 Oct 2020,$12.53B
30 Oct 2020,$12.29B
5 Nov 2020,$12.36B
12 Nov 2020,$12.88B
26 Nov 2020,$12.75B
30 Nov 2020,$12.58B
4 Dec 2020,$13.1B
11 Dec 2020,$13.02B
31 Dec 2020,$13.1B
8 Jan 2021,$13.3B
29 Jan 2021,$13.08B
5 Feb 2021,$13.53B
12 Feb 2021,$13.85B
15 Feb 2021,$13.45B
26 Feb 2021,$12.8B
5 Mar 2021,$12.51B
18 Mar 2021,$13.94B
25 Mar 2021,$13.77B
1 Apr 2021,$13.34B
7 Apr 2021,$13.1B
13 Apr 2021,$12.97B
22 Apr 2021,$12.65B
30 Apr 2021,$12.74B
7 May 2021,$13.34B
13 May 2021,$13.15B
19 May 2021,$13.96B
26 May 2021,$13.75B
31 May 2021,$13.82B
4 Jun 2021,$13.8B
11 Jun 2021,$13.33B
30 Jun 2021,$12.86B
12 Jul 2021,$13.6B
16 Jul 2021,$13.94B
21 Jul 2021,$14.1B
30 Jul 2021,$14.72B
6 Aug 2021,$15.18B
13 Aug 2021,$15.11B
20 Aug 2021,$15.23B
27 Aug 2021,$15.42B
3 Sep 2021,$15.91B
10 Sep 2021,$16.21B
17 Sep 2021,$16.42B
24 Sep 2021,$16.32B
2 Oct 2021,$15.45B
9 Oct 2021,$15.47B
16 Oct 2021,$15.36B
23 Oct 2021,$15.09B
30 Oct 2021,$15.23B
6 Nov 2021,$15.17B
13 Nov 2021,$15.07B
20 Nov 2021,$14.78B
27 Nov 2021,$15B
4 Dec 2021,$15.18B
