timeline,Welcia Holdings
31 Aug 2009,$0.21B
30 Sep 2009,$0.27B
30 Nov 2009,$0.25B
31 Dec 2009,$0.26B
26 Feb 2010,$0.25B
31 May 2010,$0.22B
30 Jul 2010,$0.24B
31 Dec 2010,$0.26B
29 Jul 2011,$0.27B
31 Aug 2011,$0.26B
30 Sep 2011,$0.24B
31 Oct 2011,$0.25B
30 Nov 2011,$0.24B
30 Dec 2011,$0.3B
31 Jan 2012,$0.31B
29 Feb 2012,$0.34B
30 Mar 2012,$0.38B
30 Apr 2012,$0.42B
31 May 2012,$0.43B
29 Jun 2012,$0.45B
31 Jul 2012,$0.47B
31 Aug 2012,$0.43B
28 Sep 2012,$0.41B
31 Oct 2012,$0.48B
30 Nov 2012,$0.44B
31 Dec 2012,$0.49B
31 Jan 2013,$0.55B
28 Feb 2013,$0.69B
29 Mar 2013,$0.76B
30 Apr 2013,$0.84B
31 May 2013,$0.72B
28 Jun 2013,$0.74B
31 Jul 2013,$0.86B
30 Aug 2013,$0.8B
30 Sep 2013,$0.85B
31 Oct 2013,$0.97B
29 Nov 2013,$0.98B
31 Dec 2013,$1.01B
31 Jan 2014,$1.11B
28 Feb 2014,$1.06B
31 Mar 2014,$1.08B
30 Apr 2014,$1.15B
30 May 2014,$1.14B
30 Jun 2014,$1.16B
31 Jul 2014,$1.24B
29 Aug 2014,$1.14B
30 Sep 2014,$1.22B
31 Oct 2014,$1.39B
28 Nov 2014,$1.46B
31 Dec 2014,$1.39B
30 Jan 2015,$1.69B
27 Feb 2015,$1.71B
31 Mar 2015,$1.74B
30 Apr 2015,$2.03B
29 May 2015,$2.29B
30 Jun 2015,$2.24B
31 Jul 2015,$2.54B
31 Aug 2015,$2.33B
30 Sep 2015,$2.32B
30 Oct 2015,$2.77B
30 Nov 2015,$3.14B
31 Dec 2015,$3.1B
29 Jan 2016,$2.98B
29 Feb 2016,$2.56B
31 Mar 2016,$2.97B
29 Apr 2016,$2.67B
31 May 2016,$2.86B
30 Jun 2016,$2.96B
29 Jul 2016,$3.11B
31 Aug 2016,$2.78B
30 Sep 2016,$3.18B
31 Oct 2016,$3.29B
30 Nov 2016,$3.27B
31 Jan 2017,$2.85B
28 Feb 2017,$2.88B
31 Mar 2017,$2.86B
28 Apr 2017,$3.3B
31 May 2017,$3.72B
30 Jun 2017,$3.82B
31 Jul 2017,$3.85B
31 Aug 2017,$3.96B
29 Sep 2017,$3.89B
31 Oct 2017,$3.95B
30 Nov 2017,$4.42B
29 Dec 2017,$4.47B
31 Jan 2018,$4.25B
28 Feb 2018,$4.35B
30 Mar 2018,$4.38B
30 Apr 2018,$5.17B
31 May 2018,$5.4B
29 Jun 2018,$5.41B
31 Jul 2018,$5.2B
31 Aug 2018,$4.71B
28 Sep 2018,$5.91B
31 Oct 2018,$5.29B
30 Nov 2018,$5.28B
31 Dec 2018,$4.55B
31 Jan 2019,$3.78B
28 Feb 2019,$3.63B
29 Mar 2019,$3.45B
30 Apr 2019,$4.02B
31 May 2019,$3.5B
28 Jun 2019,$4.03B
31 Jul 2019,$4.67B
30 Aug 2019,$5.11B
30 Sep 2019,$5B
31 Oct 2019,$5.75B
29 Nov 2019,$6.17B
31 Dec 2019,$6.39B
31 Jan 2020,$5.55B
28 Feb 2020,$5.98B
31 Mar 2020,$6.96B
1 May 2020,$7.09B
29 May 2020,$8.34B
5 Jun 2020,$8.15B
30 Jun 2020,$8.01B
10 Jul 2020,$8.11B
17 Jul 2020,$8.39B
31 Jul 2020,$8.94B
7 Aug 2020,$8.61B
21 Aug 2020,$8.77B
31 Aug 2020,$8.36B
25 Sep 2020,$8.77B
30 Sep 2020,$8.52B
22 Oct 2020,$7.56B
6 Nov 2020,$7.97B
12 Nov 2020,$7.83B
20 Nov 2020,$7.68B
26 Nov 2020,$7.78B
30 Nov 2020,$7.73B
4 Dec 2020,$7.28B
17 Dec 2020,$7.33B
24 Dec 2020,$7.22B
31 Dec 2020,$7.18B
8 Jan 2021,$7.44B
18 Jan 2021,$6.74B
22 Jan 2021,$6.62B
29 Jan 2021,$6.56B
5 Feb 2021,$6.65B
26 Feb 2021,$6.27B
11 Mar 2021,$7.11B
18 Mar 2021,$7.09B
24 Mar 2021,$6.99B
31 Mar 2021,$7B
16 Apr 2021,$6.82B
30 Apr 2021,$6.28B
18 May 2021,$6.24B
26 May 2021,$6.22B
31 May 2021,$6.14B
4 Jun 2021,$6.25B
11 Jun 2021,$6.4B
30 Jun 2021,$6.66B
12 Jul 2021,$6.19B
16 Jul 2021,$6.28B
21 Jul 2021,$6.72B
30 Jul 2021,$7.05B
6 Aug 2021,$6.9B
12 Aug 2021,$7.06B
13 Aug 2021,$7.26B
20 Aug 2021,$7.79B
27 Aug 2021,$7.65B
3 Sep 2021,$7.46B
10 Sep 2021,$7.78B
17 Sep 2021,$7.85B
24 Sep 2021,$7.79B
2 Oct 2021,$7.39B
9 Oct 2021,$7.5B
16 Oct 2021,$7.76B
23 Oct 2021,$7.58B
30 Oct 2021,$7.79B
6 Nov 2021,$7.87B
13 Nov 2021,$7.95B
20 Nov 2021,$7.68B
27 Nov 2021,$7.67B
4 Dec 2021,$7.12B
10 Dec 2021,$7.16B
