timeline,Japan Airport Terminal
30 Jul 2021,$3.96B
6 Aug 2021,$3.92B
13 Aug 2021,$4.21B
20 Aug 2021,$3.91B
27 Aug 2021,$4.27B
3 Sep 2021,$4.31B
10 Sep 2021,$4.28B
17 Sep 2021,$4.08B
24 Sep 2021,$4.43B
2 Oct 2021,$4.59B
9 Oct 2021,$4.54B
16 Oct 2021,$4.5B
23 Oct 2021,$4.43B
30 Oct 2021,$4.61B
6 Nov 2021,$4.79B
13 Nov 2021,$4.95B
20 Nov 2021,$4.76B
27 Nov 2021,$4.44B
4 Dec 2021,$4.41B
10 Dec 2021,$4.21B
