timeline,Hankyu Hanshin Holdings
2 Oct 2021,$7.39B
9 Oct 2021,$7.32B
16 Oct 2021,$7.24B
23 Oct 2021,$7.37B
30 Oct 2021,$7.48B
6 Nov 2021,$7.77B
13 Nov 2021,$7.59B
20 Nov 2021,$7.4B
27 Nov 2021,$7.57B
4 Dec 2021,$7.34B
10 Dec 2021,$7.27B
