timeline,Kobe Bussan
30 Oct 2009,$99.2M
30 Nov 2009,$92.2M
31 Dec 2009,$97M
29 Jan 2010,$96.8M
26 Feb 2010,$99.2M
31 Mar 2010,$0.11B
30 Nov 2010,$0.13B
28 Feb 2011,$0.14B
31 Mar 2011,$0.15B
31 Aug 2011,$0.16B
30 Sep 2011,$0.15B
30 Nov 2011,$0.14B
30 Mar 2012,$0.15B
29 Jun 2012,$0.14B
31 Aug 2012,$0.15B
31 Dec 2012,$0.16B
31 May 2013,$0.15B
28 Jun 2013,$0.16B
30 Aug 2013,$0.17B
31 Oct 2013,$0.14B
31 Jan 2014,$0.15B
31 Mar 2014,$0.19B
30 Jun 2014,$0.2B
29 Aug 2014,$0.21B
30 Sep 2014,$0.26B
31 Oct 2014,$0.3B
28 Nov 2014,$0.4B
31 Dec 2014,$0.6B
30 Jan 2015,$0.61B
27 Feb 2015,$0.51B
31 Mar 2015,$0.52B
30 Apr 2015,$0.61B
29 May 2015,$0.65B
30 Jun 2015,$0.79B
31 Jul 2015,$1.41B
31 Aug 2015,$1.36B
30 Sep 2015,$1.3B
30 Oct 2015,$1.12B
30 Nov 2015,$1.06B
31 Dec 2015,$0.89B
29 Jan 2016,$0.65B
29 Feb 2016,$0.6B
29 Apr 2016,$0.55B
31 May 2016,$0.58B
30 Jun 2016,$0.48B
29 Jul 2016,$0.47B
31 Aug 2016,$0.49B
30 Sep 2016,$0.64B
31 Oct 2016,$0.76B
30 Nov 2016,$0.7B
30 Dec 2016,$0.95B
31 Jan 2017,$0.84B
28 Feb 2017,$0.88B
31 Mar 2017,$0.99B
28 Apr 2017,$0.95B
31 May 2017,$0.99B
30 Jun 2017,$1.23B
31 Jul 2017,$1.26B
31 Aug 2017,$1.31B
29 Sep 2017,$1.16B
31 Oct 2017,$1.14B
30 Nov 2017,$1.19B
29 Dec 2017,$1.01B
31 Jan 2018,$1.05B
28 Feb 2018,$1B
30 Mar 2018,$1.12B
30 Apr 2018,$1.24B
31 May 2018,$1.23B
29 Jun 2018,$1.27B
31 Jul 2018,$1.28B
31 Aug 2018,$1.27B
28 Sep 2018,$1.5B
31 Oct 2018,$1.35B
30 Nov 2018,$1.64B
31 Dec 2018,$1.53B
31 Jan 2019,$1.58B
28 Feb 2019,$1.79B
29 Mar 2019,$1.97B
30 Apr 2019,$2.08B
31 May 2019,$2.35B
28 Jun 2019,$2.46B
31 Jul 2019,$2.88B
30 Aug 2019,$2.46B
31 Oct 2019,$3.04B
29 Nov 2019,$3.22B
31 Dec 2019,$3.55B
31 Jan 2020,$3.98B
28 Feb 2020,$3.73B
31 Mar 2020,$4.04B
30 Apr 2020,$4.91B
29 May 2020,$5.29B
30 Jun 2020,$5.76B
22 Jul 2020,$6.26B
31 Jul 2020,$6.17B
21 Aug 2020,$6.4B
2 Sep 2020,$5.89B
25 Sep 2020,$5.41B
30 Sep 2020,$5.48B
23 Oct 2020,$5.22B
30 Oct 2020,$5.58B
6 Nov 2020,$5.63B
12 Nov 2020,$5.82B
20 Nov 2020,$6.14B
30 Nov 2020,$6.9B
2 Dec 2020,$6.49B
9 Dec 2020,$6.56B
16 Dec 2020,$5.84B
18 Dec 2020,$6.13B
31 Dec 2020,$6.06B
8 Jan 2021,$5.81B
12 Jan 2021,$5.69B
19 Jan 2021,$5.45B
29 Jan 2021,$5.54B
1 Feb 2021,$5.62B
5 Feb 2021,$5.63B
15 Feb 2021,$5.61B
22 Feb 2021,$5.57B
26 Feb 2021,$5.21B
11 Mar 2021,$5.65B
18 Mar 2021,$5.75B
25 Mar 2021,$5.6B
31 Mar 2021,$5.65B
1 Apr 2021,$5.69B
9 Apr 2021,$5.65B
16 Apr 2021,$5.88B
30 Apr 2021,$5.57B
7 May 2021,$5.51B
13 May 2021,$5.33B
19 May 2021,$5.45B
31 May 2021,$5.27B
4 Jun 2021,$5.31B
11 Jun 2021,$5.39B
30 Jun 2021,$6.67B
12 Jul 2021,$7.33B
16 Jul 2021,$7.2B
21 Jul 2021,$7.58B
30 Jul 2021,$7.29B
6 Aug 2021,$7.42B
13 Aug 2021,$8B
20 Aug 2021,$8.32B
27 Aug 2021,$8.15B
3 Sep 2021,$8.55B
10 Sep 2021,$9.05B
17 Sep 2021,$8.02B
24 Sep 2021,$7.99B
2 Oct 2021,$6.99B
9 Oct 2021,$7.02B
16 Oct 2021,$7.15B
23 Oct 2021,$7.3B
30 Oct 2021,$7.44B
6 Nov 2021,$7.72B
13 Nov 2021,$8.07B
20 Nov 2021,$8.43B
27 Nov 2021,$8.45B
4 Dec 2021,$7.88B
10 Dec 2021,$7.9B
