timeline,Pan Pacific
30 Jul 2021,$13.05B
6 Aug 2021,$13.18B
13 Aug 2021,$13.35B
20 Aug 2021,$12.32B
27 Aug 2021,$12.25B
3 Sep 2021,$12.36B
10 Sep 2021,$12.35B
17 Sep 2021,$11.67B
24 Sep 2021,$11.45B
2 Oct 2021,$13.27B
9 Oct 2021,$13.57B
16 Oct 2021,$14.01B
23 Oct 2021,$12.72B
30 Oct 2021,$12.52B
6 Nov 2021,$12.7B
13 Nov 2021,$11.64B
20 Nov 2021,$11.46B
27 Nov 2021,$10.62B
4 Dec 2021,$10.09B
9 Dec 2021,$9.66B
