timeline,Toho Gas
30 Nov 2017,$2.97B
29 Dec 2017,$2.88B
31 Jan 2018,$2.98B
28 Feb 2018,$2.92B
30 Mar 2018,$3.05B
30 Apr 2018,$3.11B
31 May 2018,$3.22B
29 Jun 2018,$3.6B
31 Jul 2018,$3.57B
31 Aug 2018,$3.49B
28 Sep 2018,$4.05B
31 Oct 2018,$3.66B
30 Nov 2018,$4.31B
31 Dec 2018,$4.35B
31 Jan 2019,$4.37B
28 Feb 2019,$4.75B
29 Mar 2019,$4.66B
30 Apr 2019,$4.3B
31 May 2019,$3.97B
28 Jun 2019,$3.72B
31 Jul 2019,$3.9B
30 Aug 2019,$3.87B
30 Sep 2019,$3.85B
31 Oct 2019,$3.94B
29 Nov 2019,$3.85B
31 Dec 2019,$4.15B
31 Jan 2020,$3.95B
27 Feb 2020,$3.54B
28 Feb 2020,$3.43B
31 Mar 2020,$4.56B
20 Apr 2020,$5.1B
30 Apr 2020,$4.9B
29 May 2020,$4.95B
30 Jun 2020,$5.03B
31 Jul 2020,$4.27B
5 Aug 2020,$4.48B
21 Aug 2020,$4.47B
31 Aug 2020,$4.35B
11 Sep 2020,$4.39B
30 Sep 2020,$4.86B
16 Oct 2020,$4.89B
22 Oct 2020,$4.77B
30 Oct 2020,$5.02B
6 Nov 2020,$5.48B
13 Nov 2020,$5.83B
20 Nov 2020,$6.41B
30 Nov 2020,$6.36B
8 Dec 2020,$6.18B
18 Dec 2020,$5.97B
22 Dec 2020,$5.91B
31 Dec 2020,$6.36B
8 Jan 2021,$6.32B
15 Jan 2021,$6.03B
22 Jan 2021,$5.88B
29 Jan 2021,$5.73B
12 Feb 2021,$6.14B
19 Feb 2021,$6.11B
26 Feb 2021,$5.83B
3 Mar 2021,$5.79B
12 Mar 2021,$6.08B
18 Mar 2021,$6.05B
24 Mar 2021,$6.18B
2 Apr 2021,$6.14B
9 Apr 2021,$6.01B
16 Apr 2021,$5.89B
30 Apr 2021,$5.65B
6 May 2021,$5.84B
12 May 2021,$5.82B
21 May 2021,$5.89B
31 May 2021,$5.59B
4 Jun 2021,$5.22B
11 Jun 2021,$5.32B
30 Jun 2021,$5.07B
9 Jul 2021,$5.12B
16 Jul 2021,$5.09B
21 Jul 2021,$5.12B
30 Jul 2021,$5.23B
6 Aug 2021,$5.25B
13 Aug 2021,$5.22B
20 Aug 2021,$5.18B
27 Aug 2021,$4.97B
3 Sep 2021,$5.01B
10 Sep 2021,$5.17B
17 Sep 2021,$5.12B
24 Sep 2021,$5.2B
2 Oct 2021,$4.52B
