timeline,Nomura Real Estate Master Fund
30 Aug 2013,$1.33B
30 Sep 2013,$1.47B
31 Oct 2013,$1.48B
31 Dec 2013,$1.59B
28 Feb 2014,$1.56B
30 Apr 2014,$1.57B
30 May 2014,$1.71B
30 Jun 2014,$1.82B
31 Jul 2014,$1.83B
29 Aug 2014,$1.92B
30 Sep 2014,$2.02B
31 Oct 2014,$1.98B
28 Nov 2014,$2.26B
31 Dec 2014,$2.29B
30 Jan 2015,$2.17B
27 Feb 2015,$2.16B
31 Mar 2015,$2.19B
30 Apr 2015,$2.29B
29 May 2015,$2.34B
30 Jun 2015,$2.29B
31 Jul 2015,$2.19B
31 Aug 2015,$1.92B
30 Sep 2015,$2.25B
30 Nov 2015,$2.18B
31 Dec 2015,$2.19B
29 Jan 2016,$2.17B
29 Feb 2016,$5.14B
31 Mar 2016,$5.52B
29 Apr 2016,$5.58B
31 May 2016,$5.75B
30 Jun 2016,$5.34B
29 Jul 2016,$5.57B
31 Aug 2016,$5.6B
30 Sep 2016,$5.55B
31 Oct 2016,$5.58B
30 Nov 2016,$6.29B
30 Dec 2016,$6.52B
31 Jan 2017,$6.49B
28 Feb 2017,$6.21B
31 Mar 2017,$6.38B
28 Apr 2017,$5.93B
31 May 2017,$6.15B
30 Jun 2017,$5.67B
31 Jul 2017,$5.77B
31 Aug 2017,$5.36B
29 Sep 2017,$5.4B
31 Oct 2017,$5.24B
30 Nov 2017,$5.23B
29 Dec 2017,$5.16B
31 Jan 2018,$5.61B
28 Feb 2018,$5.4B
30 Mar 2018,$5.42B
30 Apr 2018,$5.63B
31 May 2018,$5.81B
29 Jun 2018,$5.96B
31 Jul 2018,$6.04B
31 Aug 2018,$5.9B
28 Sep 2018,$5.92B
31 Oct 2018,$5.58B
30 Nov 2018,$5.78B
31 Dec 2018,$5.5B
31 Jan 2019,$5.94B
28 Feb 2019,$5.63B
29 Mar 2019,$6.02B
31 May 2019,$6.75B
28 Jun 2019,$6.65B
31 Jul 2019,$6.93B
30 Aug 2019,$7.44B
30 Sep 2019,$7.83B
31 Oct 2019,$8.28B
29 Nov 2019,$8.01B
31 Dec 2019,$7.44B
31 Jan 2020,$7.65B
21 Feb 2020,$7.91B
28 Feb 2020,$6.87B
31 Mar 2020,$5.48B
30 Apr 2020,$4.96B
29 May 2020,$5.31B
18 Jun 2020,$5.45B
30 Jun 2020,$5.19B
13 Jul 2020,$5.33B
31 Jul 2020,$5.25B
7 Aug 2020,$5.38B
20 Aug 2020,$5.4B
31 Aug 2020,$5.45B
25 Sep 2020,$5.28B
30 Sep 2020,$5.29B
9 Oct 2020,$5.41B
30 Oct 2020,$5B
20 Nov 2020,$5.4B
30 Nov 2020,$5.45B
11 Dec 2020,$5.58B
18 Dec 2020,$5.61B
25 Dec 2020,$5.66B
30 Dec 2020,$5.92B
15 Jan 2021,$6.11B
29 Jan 2021,$6.37B
5 Feb 2021,$6.28B
12 Feb 2021,$6.8B
26 Feb 2021,$6.4B
5 Mar 2021,$6.48B
12 Mar 2021,$6.9B
18 Mar 2021,$7.09B
25 Mar 2021,$6.65B
31 Mar 2021,$6.67B
6 Apr 2021,$6.71B
12 Apr 2021,$6.87B
30 Apr 2021,$6.93B
6 May 2021,$7.05B
13 May 2021,$6.93B
19 May 2021,$6.99B
25 May 2021,$7.04B
31 May 2021,$6.95B
4 Jun 2021,$7.28B
30 Jun 2021,$7.14B
7 Jul 2021,$7.22B
13 Jul 2021,$7.17B
19 Jul 2021,$6.98B
30 Jul 2021,$7.26B
6 Aug 2021,$7.06B
13 Aug 2021,$7.07B
20 Aug 2021,$7.15B
27 Aug 2021,$7.2B
3 Sep 2021,$7.05B
10 Sep 2021,$6.87B
17 Sep 2021,$6.79B
24 Sep 2021,$6.59B
2 Oct 2021,$6.45B
9 Oct 2021,$6.74B
23 Oct 2021,$6.73B
30 Oct 2021,$6.83B
6 Nov 2021,$6.77B
13 Nov 2021,$6.7B
20 Nov 2021,$6.63B
4 Dec 2021,$6.69B
